code,number,payment,lottery_sequence,time_sequence,your_choice,your_threshold,lottery_ranks,time_ranks,time,lottery,mechanism_preferred
ypxdbu9p,28,3.2,"Odd, Even, Even, Even, Even","1, 1, 3, 1, 7",Time,2.0,3,15,Top half,Bottom half,DC-5 Lottery
1ffa4s3f,49,3.2,"Odd, Odd, Even, Odd, Odd","4, 2, 2, 0, 0",Time,2.0,13,17,Top half,Top half,Time
1005a2zv,23,3.2,"Odd, Even, Even, Odd, Even","7, 2, 7, 3, 7",Time,2.0,1,18,Top half,Top half,Time
4wrtkbti,63,3.0,"Even, Even, Even, Even, Odd","5, 0, 5, 0, 5",Time,2.0,35,18,Bottom half,Top half,DC-5 Lottery
6o2sgdrq,7,3.2,"Odd, Even, Even, Even, Even","4, 0, 0, 0, 0",Time,1.0,3,20,Top half,Top half,DC-5 Lottery
zvqf3u6a,84,3.0,"Odd, Odd, Odd, Odd, Even","9, 2, 3, 1, 2",DC-5 Lottery,1.0,14,20,Top half,Bottom half,Time
u55z7v7g,72,3.0,"Odd, Odd, Odd, Odd, Even","2, 3, 0, 1, 5",DC-5 Lottery,1.0,14,20,Bottom half,Bottom half,DC-5 Lottery
bmpyofnw,64,3.0,"Odd, Odd, Odd, Even, Even","1, 0, 4, 0, 9",Time,1.0,31,20,Bottom half,Bottom half,Time
xf5w25kq,0,3.2,"Odd, Odd, Even, Odd, Even","9, 1, 2, 4, 3",Time,0.15,6,24,Top half,Top half,Time
zyz16ruu,58,3.0,"Even, Odd, Odd, Even, Even","0, 1, 0, 0, 5",DC-5 Lottery,2.0,47,24,Top half,Top half,Time
6bvl6tfa,57,1.2,"Even, Odd, Even, Even, Odd","2, 3, 7, 4, 2",DC-5 Lottery,0.3,44,26,Bottom half,Bottom half,Time
ol4qbq0m,88,1.0,"Odd, Odd, Even, Even, Odd","3, 3, 6, 4, 9",Time,0.88,28,26,Top half,Top half,Time
99skfixe,85,1.2,"Odd, Even, Odd, Odd, Odd","0, 3, 1, 2, 1",DC-5 Lottery,0.0,12,28,Top half,Top half,Time
alufjsbb,75,1.0,"Odd, Even, Odd, Even, Odd","7, 4, 2, 1, 0",Time,1.0,24,28,Top half,Bottom half,DC-5 Lottery
wn9e0gx5,94,1.0,"Odd, Odd, Odd, Odd, Odd","1, 1, 0, 0, 0",DC-5 Lottery,2.0,30,28,Top half,Bottom half,Time
f9s2lks5,77,1.0,"Odd, Odd, Odd, Odd, Even","2, 0, 6, 5, 0",Time,2.0,14,28,Bottom half,Bottom half,Time
ngro413f,76,1.0,"Even, Even, Odd, Odd, Odd","1, 2, 5, 2, 1",DC-5 Lottery,1.5,37,32,Top half,Top half,Time
mvvhuylr,33,1.0,"Odd, Odd, Even, Even, Odd","7, 0, 0, 0, 0",DC-5 Lottery,1.0,28,32,Top half,Top half,DC-5 Lottery
ge8rb41p,56,1.2,"Odd, Odd, Odd, Odd, Even","1, 1, 1, 1, 1",Time,2.0,14,34,Bottom half,Top half,Time
9au7ctu3,62,1.0,"Odd, Odd, Odd, Even, Even","1, 1, 1, 1, 1",Time,1.0,31,34,Top half,Top half,Time
jget3tkq,34,1.2,"Odd, Even, Odd, Even, Odd","0, 2, 6, 3, 1",Time,1.0,24,36,Bottom half,Top half,Time
k7xub1jq,67,1.2,"Odd, Odd, Odd, Even, Odd","9, 2, 6, 2, 6",DC-5 Lottery,2.0,40,36,Bottom half,Bottom half,DC-5 Lottery
g2wccz5g,9,1.2,"Even, Even, Even, Even, Odd","2, 5, 4, 3, 6",Time,0.5,35,38,Bottom half,Top half,Time
lm54jvgh,68,1.2,"Even, Even, Odd, Even, Even","2, 0, 5, 2, 2",Time,0.1,38,39,Top half,Bottom half,Time
f1b2ahpe,80,1.0,"Odd, Odd, Odd, Even, Even","1, 3, 1, 0, 3",Time,1.0,31,39,Top half,Bottom half,DC-5 Lottery
n2byoxfb,92,1.2,"Odd, Odd, Even, Odd, Even","9, 1, 5, 2, 4",DC-5 Lottery,2.0,6,41,Top half,Top half,Time
akdcsekb,5,1.0,"Even, Even, Even, Even, Even","8, 5, 0, 3, 0",Time,2.0,19,41,Top half,Top half,DC-5 Lottery
l372lm2x,71,1.0,"Even, Even, Even, Odd, Even","2, 0, 1, 0, 1",DC-5 Lottery,1.0,10,41,Top half,Bottom half,Time
52xwb5pf,90,1.0,"Even, Even, Even, Even, Even","1, 3, 3, 5, 5",DC-5 Lottery,1.0,19,41,Top half,Bottom half,Time
x9ogi3ix,10,1.0,"Even, Odd, Odd, Odd, Odd","1, 1, 1, 1, 1",DC-5 Lottery,2.0,46,45,Top half,Top half,Time
01a0qjg6,91,1.0,"Odd, Odd, Odd, Even, Odd","1, 3, 3, 4, 5",Time,1.5,40,45,Top half,Top half,Time
bk7ccabk,79,1.2,"Odd, Odd, Even, Odd, Even","5, 2, 3, 2, 0",Time,1.0,6,47,Bottom half,Bottom half,DC-5 Lottery
5hs6brk1,22,1.2,"Even, Even, Odd, Even, Odd","2, 3, 1, 2, 2",Time,2.0,43,48,Bottom half,Bottom half,Time
qac37bd1,15,1.2,"Odd, Odd, Odd, Even, Even","5, 3, 6, 3, 7",Time,1.0,31,49,Bottom half,Bottom half,DC-5 Lottery
7ocphbfy,74,1.0,"Odd, Even, Odd, Even, Odd","0, 0, 3, 1, 5",DC-5 Lottery,0.7,24,49,Bottom half,Bottom half,DC-5 Lottery
