code,number,payment,lottery_sequence,rps_sequence,your_choice,your_threshold,lottery_ranks,rps_ranks,rps,lottery,mechanism_preferred
u0n4qq1n,32,1.2,"Even, Even, Even, Odd, Odd","Rock, Paper, Scissors, Rock, Paper",DC-5 Lottery,1.0,15,36,Top half,Top half,DC-5 Lottery
9eouddhe,16,1.0,"Even, Even, Even, Odd, Even","Rock, Paper, Scissors, Rock, Paper","Rock, Paper, Scissors",2.0,9,36,Top half,Bottom half,DC-5 Lottery
bfks859v,39,1.0,"Odd, Odd, Odd, Odd, Odd","Rock, Paper, Scissors, Rock, Paper","Rock, Paper, Scissors",0.0,22,36,Top half,Bottom half,DC-5 Lottery
tbnq4fzt,89,1.0,"Odd, Odd, Odd, Odd, Odd","Rock, Paper, Paper, Paper, Paper","Rock, Paper, Scissors",1.0,22,39,Top half,Top half,DC-5 Lottery
94htf9vu,66,1.0,"Odd, Odd, Odd, Even, Even","Rock, Rock, Scissors, Scissors, Scissors","Rock, Paper, Scissors",0.2,27,40,Top half,Bottom half,"Rock, Paper, Scissors"
y63la981,27,1.2,"Odd, Even, Even, Odd, Odd","Scissors, Scissors, Scissors, Scissors, Scissors",DC-5 Lottery,0.2,3,41,Bottom half,Bottom half,DC-5 Lottery
jc76j0fy,47,1.0,"Even, Odd, Odd, Even, Odd","Rock, Paper, Rock, Scissors, Scissors",DC-5 Lottery,0.5,49,42,Top half,Top half,DC-5 Lottery
twub32n3,25,1.0,"Odd, Even, Even, Even, Even","Rock, Rock, Rock, Scissors, Rock","Rock, Paper, Scissors",2.0,5,43,Top half,Top half,"Rock, Paper, Scissors"
vjm56omt,70,1.0,"Odd, Odd, Even, Odd, Odd","Rock, Scissors, Rock, Rock, Scissors","Rock, Paper, Scissors",2.0,13,44,Top half,Bottom half,"Rock, Paper, Scissors"
tkuesedp,38,1.2,"Even, Odd, Odd, Odd, Odd","Rock, Rock, Rock, Rock, Rock","Rock, Paper, Scissors",2.0,42,45,Top half,Bottom half,DC-5 Lottery
6gechuqa,96,1.2,"Odd, Odd, Odd, Odd, Odd","Rock, Rock, Rock, Rock, Rock","Rock, Paper, Scissors",0.0,22,45,Top half,Top half,"Rock, Paper, Scissors"
l16b4hj7,26,1.2,"Odd, Even, Even, Odd, Even","Rock, Rock, Rock, Rock, Rock","Rock, Paper, Scissors",0.25,1,45,Bottom half,Bottom half,"Rock, Paper, Scissors"
iuvyrlry,20,1.0,"Even, Odd, Even, Even, Odd","Rock, Rock, Rock, Rock, Rock","Rock, Paper, Scissors",0.0,41,45,Top half,Top half,"Rock, Paper, Scissors"
eqbynhxh,65,1.0,"Odd, Even, Odd, Odd, Even","Rock, Scissors, Rock, Paper, Rock",DC-5 Lottery,2.0,7,49,Top half,Top half,DC-5 Lottery
i0jx3pgw,42,1.0,"Even, Odd, Even, Odd, Odd","Rock, Scissors, Rock, Paper, Rock","Rock, Paper, Scissors",1.0,33,49,Top half,Top half,DC-5 Lottery
